17-12-2021,KEYFINSERV,Smallcap,Finance
20-12-2021,TOTAL,Smallcap,Miscellaneous
20-12-2021,BIL,Smallcap,FMCG
04-01-2022,SHIVAMILLS,Smallcap,Textiles
12-01-2022,BGRENERGY,Smallcap,Realty
13-01-2022,RAMASTEEL,Smallcap,Metals
19-01-2022,UNIVASTU,Smallcap,Realty
19-01-2022,BANARBEADS,Smallcap,Industrials
24-01-2022,PRECWIRE,Smallcap,Metals
25-01-2022,AGI,Smallcap,Services
25-01-2022,TATAELXSI,Largecap,I.T
27-01-2022,CTE,Smallcap,I.T
11-02-2022,AUSOMENT,Smallcap,Finance
17-02-2022,NDTV,Smallcap,Media
18-02-2022,RAJMET,Smallcap,Services
22-02-2022,MAWANASUG,Smallcap,FMCG
23-02-2022,TIMESGTY,Smallcap,Finance
24-02-2022,TCPLPACK,Smallcap,Services
04-03-2022,ORIENTBELL,Smallcap,Industrials
17-03-2022,BALRAMCHIN,Midcap,FMCG
17-03-2022,ARVEE,Smallcap,Pharmaceuticals
28-03-2022,DANGEE,Smallcap,FMCG
31-03-2022,GOACARBON,Smallcap,Industrials
12-04-2022,ASHAPURMIN,Smallcap,Industrials
20-04-2022,JASH,Smallcap,FMCG
28-04-2022,SCHNEIDER,Smallcap,FMCG
09-05-2022,RAJMET,Smallcap,Services
07-06-2022,RAYMOND,Midcap,Textiles
07-06-2022,FINEORG,Midcap,Industrials
30-06-2022,STERTOOLS,Smallcap,Industrials
01-07-2022,WENDT,Smallcap,FMCG
20-07-2022,GRPLTD,Smallcap,FMCG
