09-12-2021,POLYPLEX,Midcap,Services
09-12-2021,RAMKY,Smallcap,Realty
13-12-2021,SIEMENS,Largecap,FMCG
16-12-2021,KAPSTON,Smallcap,Miscellaneous
28-12-2021,KINGFA,Smallcap,FMCG
30-12-2021,MANAKSIA,Smallcap,Metals
04-01-2022,SWELECTES,Smallcap,FMCG
05-01-2022,NEOGEN,Smallcap,Industrials
07-01-2022,TOKYOPLAST,Smallcap,FMCG
12-01-2022,GMDCLTD,Smallcap,Industrials
13-01-2022,TATACOMM,Largecap,Telecom
17-01-2022,ORBTEXP,Smallcap,Textiles
17-01-2022,ELECTHERM,Smallcap,Metals
24-01-2022,POWERINDIA,Midcap,FMCG
07-02-2022,AVTNPL,Smallcap,FMCG
07-02-2022,BALAJITELE,Smallcap,Media
09-02-2022,TCPLPACK,Smallcap,Services
10-02-2022,DEEPINDS,Smallcap,Industrials
11-02-2022,CONSOFINVT,Smallcap,Finance
17-02-2022,KEYFINSERV,Smallcap,Finance
16-03-2022,SPLPETRO,Midcap,Oils
16-03-2022,NAHARCAP,Smallcap,Finance
17-03-2022,RHIM,Midcap,Industrials
24-03-2022,SUVENPHAR,Midcap,Pharmaceuticals
30-03-2022,RCF,Smallcap,Industrials
31-03-2022,RAYMOND,Midcap,Textiles
31-03-2022,DEEPINDS,Smallcap,Industrials
04-04-2022,MUKANDLTD,Smallcap,Metals
08-04-2022,POONAWALLA,Largecap,Finance
11-04-2022,ARMANFIN,Smallcap,Finance
12-04-2022,SHANTIGEAR,Smallcap,Auto
12-04-2022,DSSL,Smallcap,I.T
19-04-2022,CONTROLPR,Smallcap,Services
20-04-2022,NITIRAJ,Smallcap,FMCG
22-04-2022,KAKATCEM,Smallcap,Industrials
25-04-2022,ONMOBILE,Smallcap,Telecom
26-04-2022,CAPTRUST,Smallcap,Finance
28-04-2022,DOLATALGO,Smallcap,Finance
29-04-2022,MANAKSIA,Smallcap,Metals
02-05-2022,HBLPOWER,Smallcap,Miscellaneous
05-05-2022,MOLDTECH,Smallcap,Industrials
23-05-2022,WELCORP,Midcap,Metals
27-05-2022,AIAENG,Largecap,Industrials
02-06-2022,HBLPOWER,Smallcap,Miscellaneous
24-06-2022,INSECTICID,Smallcap,Industrials
01-07-2022,ORIENTBELL,Smallcap,Industrials
20-07-2022,ITI,Midcap,Telecom
22-07-2022,RAJRATAN,Smallcap,Metals
