26-11-2021,SHAHALLOYS,Smallcap,Metals
26-11-2021,ARROWGREEN,Smallcap,FMCG
26-11-2021,DPSCLTD,Smallcap,Miscellaneous
26-11-2021,TREJHARA,Smallcap,I.T
26-11-2021,WELCORP,Midcap,Metals
26-11-2021,TTML,Largecap,Telecom
26-11-2021,RSYSTEMS,Smallcap,I.T
29-11-2021,RAYMOND,Midcap,Textiles
29-11-2021,PREMIER,Smallcap,FMCG
29-11-2021,SHAHALLOYS,Smallcap,Metals
29-11-2021,ASAL,Smallcap,Auto
29-11-2021,TREJHARA,Smallcap,I.T
29-11-2021,UNIVPHOTO,Smallcap,Miscellaneous
29-11-2021,TTML,Largecap,Telecom
29-11-2021,PILANIINVS,Smallcap,Finance
30-11-2021,SPMLINFRA,Smallcap,Realty
30-11-2021,SHAHALLOYS,Smallcap,Metals
30-11-2021,UNIVPHOTO,Smallcap,Miscellaneous
01-12-2021,DENORA,Smallcap,FMCG
01-12-2021,LYKALABS,Smallcap,Pharmaceuticals
01-12-2021,TALBROAUTO,Smallcap,Auto
01-12-2021,SHAHALLOYS,Smallcap,Metals
01-12-2021,SIRCA,Smallcap,Services
01-12-2021,KDDL,Smallcap,FMCG
01-12-2021,MUKTAARTS,Smallcap,Media
02-12-2021,SHAHALLOYS,Smallcap,Metals
02-12-2021,HBLPOWER,Smallcap,Miscellaneous
02-12-2021,MIRZAINT,Smallcap,FMCG
02-12-2021,KDDL,Smallcap,FMCG
02-12-2021,ISMTLTD,Smallcap,Metals
02-12-2021,MBLINFRA,Smallcap,Realty
02-12-2021,PGEL,Smallcap,FMCG
03-12-2021,DENORA,Smallcap,FMCG
03-12-2021,SHAHALLOYS,Smallcap,Metals
03-12-2021,RIIL,Smallcap,Realty
03-12-2021,NEOGEN,Smallcap,Industrials
03-12-2021,MBLINFRA,Smallcap,Realty
03-12-2021,INOXWIND,Smallcap,FMCG
06-12-2021,WSI,Smallcap,Realty
06-12-2021,ASAL,Smallcap,Auto
06-12-2021,ALPA,Smallcap,Pharmaceuticals
06-12-2021,MBLINFRA,Smallcap,Realty
07-12-2021,HITECHCORP,Smallcap,Services
07-12-2021,LAOPALA,Smallcap,Industrials
07-12-2021,UNIVPHOTO,Smallcap,Miscellaneous
07-12-2021,NDL,Smallcap,Textiles
07-12-2021,PARSVNATH,Smallcap,Realty
07-12-2021,EXPLEOSOL,Smallcap,I.T
07-12-2021,RAMKY,Smallcap,Realty
07-12-2021,LOVABLE,Smallcap,Textiles
08-12-2021,IFCI,Smallcap,Finance
08-12-2021,HCC,Smallcap,Realty
08-12-2021,MOTOGENFIN,Smallcap,Finance
08-12-2021,ANSALHSG,Smallcap,Realty
08-12-2021,ORICONENT,Smallcap,Services
08-12-2021,MAYURUNIQ,Smallcap,FMCG
08-12-2021,RIIL,Smallcap,Realty
08-12-2021,POLYPLEX,Midcap,Services
08-12-2021,HITECHCORP,Smallcap,Services
08-12-2021,LAOPALA,Smallcap,Industrials
08-12-2021,ADROITINFO,Smallcap,I.T
08-12-2021,RAMKY,Smallcap,Realty
08-12-2021,LOVABLE,Smallcap,Textiles
08-12-2021,NECCLTD,Smallcap,Services
09-12-2021,MTNL,Smallcap,Telecom
09-12-2021,GLFL,Smallcap,Finance
09-12-2021,ARENTERP,Smallcap,Industrials
09-12-2021,63MOONS,Smallcap,I.T
09-12-2021,ADROITINFO,Smallcap,I.T
09-12-2021,NEXTMEDIA,Smallcap,Media
09-12-2021,TANTIACONS,Smallcap,Realty
10-12-2021,HCC,Smallcap,Realty
10-12-2021,PREMIER,Smallcap,FMCG
10-12-2021,SIEMENS,Largecap,FMCG
10-12-2021,CAPTRUST,Smallcap,Finance
10-12-2021,MIRZAINT,Smallcap,FMCG
10-12-2021,PBAINFRA,Smallcap,Realty
10-12-2021,TANTIACONS,Smallcap,Realty
10-12-2021,INSPIRISYS,Smallcap,I.T
10-12-2021,NETWORK18,Midcap,Media
10-12-2021,SABEVENTS,Smallcap,Media
13-12-2021,BANARISUG,Smallcap,FMCG
13-12-2021,PREMIER,Smallcap,FMCG
13-12-2021,WSI,Smallcap,Realty
13-12-2021,ANSALHSG,Smallcap,Realty
13-12-2021,CAPTRUST,Smallcap,Finance
13-12-2021,KEYFINSERV,Smallcap,Finance
13-12-2021,INDLMETER,Smallcap,FMCG
13-12-2021,AGROPHOS,Smallcap,Industrials
13-12-2021,TOTAL,Smallcap,Miscellaneous
13-12-2021,AARVI,Smallcap,Miscellaneous
13-12-2021,CREDITACC,Midcap,Finance
13-12-2021,NDTV,Smallcap,Media
13-12-2021,MINDAIND,Largecap,Auto
13-12-2021,KKCL,Smallcap,FMCG
13-12-2021,GTNTEX,Smallcap,Textiles
13-12-2021,ASTEC,Smallcap,Industrials
14-12-2021,RAJSREESUG,Smallcap,FMCG
14-12-2021,PREMIER,Smallcap,FMCG
14-12-2021,ANSALHSG,Smallcap,Realty
14-12-2021,KEYFINSERV,Smallcap,Finance
14-12-2021,INDLMETER,Smallcap,FMCG
14-12-2021,PEARLPOLY,Smallcap,FMCG
14-12-2021,PRECWIRE,Smallcap,Metals
14-12-2021,TOTAL,Smallcap,Miscellaneous
14-12-2021,BIL,Smallcap,FMCG
14-12-2021,PNC,Smallcap,Media
14-12-2021,NDTV,Smallcap,Media
14-12-2021,DAAWAT,Smallcap,FMCG
14-12-2021,INDOTHAI,Smallcap,Finance
14-12-2021,MTEDUCARE,Smallcap,Services
14-12-2021,GREENLAM,Smallcap,Miscellaneous
15-12-2021,PREMIER,Smallcap,FMCG
